1;17/05/202411:20;17/05/202411:20:;USER001;COMPRA01;6;-361.46€;Correcto
1;17/05/202411:20;17/05/202411:20:;USER002;COMPRA02;4;+699.36€;Error
1;17/05/202411:20;17/05/202411:20:;USER002;COMPRA03;6;+261.97€;Error
1;17/05/202411:20;17/05/202411:20:;USER005;COMPRA04;6;-794.59€;Correcto
1;17/05/202411:20;17/05/202411:20:;USER003;COMPRA05;8;-47.06€;Correcto
1;17/05/202411:20;17/05/202411:20:;USER005;COMPRA06;7;+497.00€;Finalizado
1;17/05/202411:20;17/05/202411:20:;USER005;COMPRA07;1;-826.64€;Error
1;17/05/202411:20;17/05/202411:20:;USER004;COMPRA08;8;+240.38€;Finalizado
1;17/05/202411:20;17/05/202411:20:;USER003;COMPRA09;8;-609.79€;Correcto
1;17/05/202411:20;17/05/202411:20:;USER004;COMPRA10;4;-384.28€;Error
1;17/05/202411:20;17/05/202411:20:;USER005;COMPRA11;9;+437.28€;Correcto
